Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
Memorandum to Re-evaluate Jurisdiction for NWO-2003-60436 (pdf),2023-12-19,2025-07-24,OW-OWOW-3182,WOTUS,Joint EPA-Corps field memorandum is a case-specific resolution of elevated jurisdictional determination. This memorandum addresses the concept of how to identify the wetland area which is then assessed under the jurisdictional standard. ,https://www.epa.gov/system/files/documents/2024-01/nwo-2003-60436-joint-decision-memo_final_12-18-23_508c.pdf
TAS Application Template for Administering a CWA Section 401 Water Quality Certification Program,2025-01-24,2025-07-18,OW-OWOW-3154,401,Application template for Tribes interested in obtaining TAS for Section 401,https://www.epa.gov/system/files/documents/2024-01/template_for_401_tas_application_12052023-508.docx
TAS Application Template for Participating in the Section 401(a)(2) Process as a Neighboring Jurisdiction,2025-01-24,2025-07-18,OW-OWOW-3155,401,Application template for Tribes interested in obtaining TAS for Section 401(a)(2),https://www.epa.gov/system/files/documents/2024-01/template_for_401a2_tas_application_12052023-508_0.docx
Community Grants Program Cost Share Waiver Implementation Guidance (pdf),2024-02-05,2025-07-28,OW-OWM-3205,Community Grants,Implementation Guidance for Cost Share Waivers for Congressionally Directed Community Grants,https://www.epa.gov/system/files/documents/2024-02/community-grants-cost-share-waiver-guidance.pdf
CSO Temporal Recreational Uses or WQS variances based on 40 CFR 131.10(g)(3) (pdf),2024-01-19,2025-07-28,OW-OST-3238,CSO,"This memorandum provides critical information states could submit to EPA to justify the adoption of a CSO temporal recreation use or a WQS variance for a CSO-impacted waterbody to demonstrate that implementing non-CSO control alternatives would result in a greater environmental benefit, but would be precluded, as a practical matter, if the community were required to implement additional CSO controls. Adopting a temporal recreation use or WQS variance for CSO-impacted waters, when adopted consistent with the regulation, would allow a state and the community to holistically consider, identify, and commit to addressing sources of bacteria other than CSO discharges to continue to improve water quality, provide opportunities for safe recreation and achieve a greater health benefit to the public. These actions will help move the nation’s waters further towards the CWA objectives. ",https://www.epa.gov/system/files/documents/2024-02/cso-temp-recreational-memo-1-19-2024.pdf
Draft Guidance for Future NPDES Permitting for Combined Sewer Systems (pdf),2024-02-20,2025-07-16,OW-OWM-2984,NPDES,This guidance is for municipalities that are nearing completion of their long-term control plans,https://www.epa.gov/system/files/documents/2024-02/draft-guidance-for-future-npdes-permitting-of-css.pdf
"Memorandum on LRB-2021-01386
 (pdf)",2024-02-16,2025-07-24,OW-OWOW-3179,WOTUS,Joint EPA-Corps field memorandum is a case-specific resolution of elevated jurisdictional determination. This memorandum addresses the concept of how to identify the wetland area which is then assessed under the jurisdictional standard.,https://www.epa.gov/system/files/documents/2024-02/lrb-2021-01386-joint-decision-memo_final_508c.pdf
Memorandum on Evaluating Jurisdiction for LRL-2023-00466 (pdf),2024-02-07,2025-07-24,OW-OWOW-3183,WOTUS,Joint EPA-Corps field memorandum is a case-specific resolution of elevated jurisdictional determination. This memorandum addresses the concept of when ponds are considered part of the tributary network. ,https://www.epa.gov/system/files/documents/2024-02/lrl-2023-00466-joint-decision-memo_final_508c.pdf
Memorandum on MVS-2023-00288  (pdf),2024-02-16,2025-07-24,OW-OWOW-3180,WOTUS,Joint EPA-Corps field memorandum is a case-specific resolution of elevated jurisdictional determination. This memorandum addresses the concept of how to identify tributary reaches for purposes of assessing tributaries.,https://www.epa.gov/system/files/documents/2024-02/mvs-2023-00288-joint-decision-memo_final_508c.pdf
Assessing if a Water & Wastewater System has Operational Technology (pdf),2024-01-01,2025-07-18,OW-OGWDW-3127,Cybersecurity,Helps determine if a utility uses operational technology.,https://www.epa.gov/system/files/documents/2024-03/assessing-if-a-wws-has-ot_508_c.pdf
Memorandum to Re-evaluate Jurisdiction for SAS-2001-13740 (pdf),2024-03-01,2025-07-24,OW-OWOW-3184,WOTUS,Joint EPA-Corps field memorandum is a case-specific resolution of elevated jurisdictional determination. This memorandum addresses the concept of how to apply the waste treatment system exclusion. ,https://www.epa.gov/system/files/documents/2024-03/sas-2001-13740-joint-decision-memo_final_2-28-24_508c.pdf
Best Available Technologies and Small System Compliance Technologies for Per- and Polyfluoroalkyl Substances (PFAS) in Drinking Water (pdf),3/00/24,2025-07-28,OW-OGWDW-3213,BATs,"This document addresses treatment technologies that drinking water systems could use to meet the requirements of the regulation. Specifically, it provides an evaluation of several technologies against predefined criteria to determine whether they might be considered best available technologies (BATs). In addition, it provides an evaluation of technologies for small systems against criteria to determine whether they can be designated small system compliance technologies (SSCT).",https://www.epa.gov/system/files/documents/2024-04/2024-final-pfas-bat-ssct_final-508.pdf
Drinking Water Utilities and Professionals Technical Overview Webinar on the Final PFAS NPDWR (pdf),2024-04-23,2025-07-28,OW-OGWDW-3222,PFAS NPDWR,Webinar - Final PFAS National Primary Drinking Water Regulation,https://www.epa.gov/system/files/documents/2024-04/drinking-water-utilities-and-professionals-technical-overview-of-pfas-npdwr.pdf
Training and Technical Assistance for Small Systems Funding Request for Applications FY 23 (pdf),2023-12-04,,OW-OGWDW-3083,Drinking Water Grants,"Provides information on the Training and Technical Assistance for Small Systems Grant Program, including how to apply, eligible applicants, and eligible activities.",https://www.epa.gov/system/files/documents/2024-04/epa-ow-ogwdw-24-01-rfa.pdf
"Allotments of FY 2024 Bipartisan Infrastructure Law Appropriations for the Emerging Contaminants in Small or Disadvantaged Communities Grant, Authorized under Section 1459A(a)-(j) of the Safe Drinking Water Act (pdf)",2024-04-10,2025-07-28,OW-OGWDW-3221,PFAS,The EPA recognizes that communities across the country need resources to address PFAS contamination in drinking water. That’s why one of the pillars in the EPA’s PFAS Strategic Roadmap is focused on remediation. The BIL provides an unprecedented level of funding dedicated to addressing PFAS and other emerging contaminants. Ensuring that disadvantaged communities benefit equitably from this historic investment is a key priority of the BIL.,https://www.epa.gov/system/files/documents/2024-04/final_fy24_bil_ecsdc_allotmentmemo_april-2024.pdf
EC-SDC Allotment Memo FY24 (pdf),2024-04-10,2025-07-16,OW-OGWDW-3071,Drinking Water Grants,Memo to grantees on distribution/allotment of grant funds for the fiscal year(s) noted,https://www.epa.gov/system/files/documents/2024-04/final_fy24_bil_ecsdc_allotmentmemo_april-2024.pdf
FY 24 Community Grants Implementation Guidance (pdf),2024-04-22,2025-07-28,OW-OWM-3204,Community Grants,Implementation Guidance for Congressionally Directed Community Grants,https://www.epa.gov/system/files/documents/2024-04/fy24-community-grants-final-implementation-guidance.pdf
Fiscal Year 2024 Allotments for the State Revolving Fund Provisions of the Bipartisan Infrastructure Law and Base Program Funding (pdf),2024-04-03,2025-07-17,OW-OGWDW-3103,DWSRF (and CWSRF),"Allotment memo for FY24, all funds but LSLR",https://www.epa.gov/system/files/documents/2024-04/fy24-joint-srf-allotments-memorandum_0.pdf
Lead Action Level Exceedance (ALE) Tier 1 Public Notice (PN) Fact Sheet (WSG 219) (pdf),2024-04-11,2025-07-16,OW-OGWDW-3063,Direct Implementation of SDWA LCRR Tier 1 PN,"This memorandum encourages PWSS primacy agencies to consider their existing authorities to work with PWSs to start implementing  Tier 1 PN within 24 hours of lead action level exceedances in advance of the October 16, 2024, LCRR compliance date.",https://www.epa.gov/system/files/documents/2024-04/lead-ale-tier-1-pn-memo-to-wdds_041124-with-wsg-no.-included.pdf
Frequently Asked Questions and Answers for Drinking Water Primacy Agencies: Final PFAS National Primary Drinking Water Regulation (pdf),2024-04-08,2025-07-28,OW-OGWDW-3215,PFAS NPDWR,FAQs for PFAS NPDWR - Drinking Water Primacy Agencies,https://www.epa.gov/system/files/documents/2024-04/pfas_npwdr_faqsstates_4.8.24.pdf
PFAS Communications Toolkit (pdf),4/00/24,2025-07-28,OW-OGWDW-3214,PFAS,Toolkit and plan for communicating about PFAS results.,https://www.epa.gov/system/files/documents/2024-04/pfas-communications-tips-and-best-practices.pdf
Fact Sheet: Benefits and Costs of Reducing PFAS in Drinking Water (pdf),2024-04-08,2025-07-28,OW-OGWDW-3218,PFAS,Analysis of costs & benefits of reducing PFAS in drinking water.,https://www.epa.gov/system/files/documents/2024-04/pfas-npdwr_fact-sheet_cost-and-benefits_4.8.24.pdf
Fact Sheet: Understanding the Final PFAS National Primary Drinking Water Regulation Hazard Index Maximum Contaminant Level (pdf),2024-04-08,2025-07-28,OW-OGWDW-3216,PFAS NPDWR,PDF fact sheet - Hazard Index MCL,https://www.epa.gov/system/files/documents/2024-04/pfas-npdwr_fact-sheet_hazard-index_4.8.24.pdf
Fact Sheet: Small and Rural Systems (pdf),2024-04-08,2025-07-28,OW-OGWDW-3217,PFAS NPDWR,Fact Sheet for Small and Rural Water Systems on EPA's PFAS National Primary Drinking Water Regulation,https://www.epa.gov/system/files/documents/2024-04/pfas-npdwr_fact-sheet_monitoring_4.8.24.pdf
Fact Sheet: PFAS NPDWR Monitoring and Reporting (pdf),2024-04-08,2025-07-28,OW-OGWDW-3219,PFAS,"Guidance & fact sheet of PFAS compliance, monitoring & reporting.",https://www.epa.gov/system/files/documents/2024-04/pfas-npdwr_fact-sheet_monitoring_4.8.24_0.pdf
Fact Sheet: Treatment Options for Removing PFAS in Drinking Water (pdf),2024-04-08,2025-07-28,OW-OGWDW-3220,PFAS,Guidance on treatment options for removing PFAS from drinking water.,https://www.epa.gov/system/files/documents/2024-04/pfas-npdwr_fact-sheet_treatment_4.8.24.pdf
Fact Sheet; Final Rule: Clean Water Act Methods Update Rule for the Analysis of Effluent EPA 821-R-24-009 (pdf),2024-04-01,2025-07-15,OW-OST-2994,Clean Water Act Methods,Fact Sheet; Final Rule: Clean Water Act routine Methods Update Rule 2 for the Analysis of Effluent EPA 821-R-24-009,https://www.epa.gov/system/files/documents/2024-04/rmur-2024-fact-sheet.pdf
Fact Sheet: Final Rule: Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Category (pdf),2024-04-01,2025-07-15,OW-OST-2985,Effluent Limit Guidelines,Fact Sheet for 2024 Final Rule: Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Category,https://www.epa.gov/system/files/documents/2024-04/steam-electric-final-rule-fact-sheet_508.pdf
"U.S. EPA Area-Wide Optimization Program (AWOP) Water Quality Goals and Operational Criteria for Optimization of Slow Sand Filtration, EPA 815-B-24-011 (pdf)",2024-04-01,2025-07-14,OW-OGWDW-3050,Area-Wide Optimization Program,"This document presents water quality performance goals, as well as operations and maintenance (O&M) criteria to assist water system managers, operators, and primacy agency staff with ensuring optimal performance of slow sand filtration/filters (SSF) systems.",https://www.epa.gov/system/files/documents/2024-04/water-quality-goals-and-slow-sand-filtration.pdf
Final Allotments for the FY 2024 Public Water System Supervision (PWSS) State and Tribal Support Program Grants (pdf),2024-05-16,2025-07-28,OW-OGWDW-3225,PFAS,"This year’s allotments include $12,000,000 to support activities addressing per- and polyfluoroalkyl substances (PFAS) and other contaminants of emerging concern. The State and Tribal support formula allotments were calculated utilizing final FY 2024 funding levels, and the funds have been directed to the Regions’ accounts.",https://www.epa.gov/system/files/documents/2024-05/fy-2024-final-pwss-grant-allotment-memo.pdf
Fiscal Year 2024 Lead Service Line Allotments for the Drinking Water State Revolving Fund Provisions of the Bipartisan Infrastructure Law Funding (pdf),2024-05-01,2025-07-17,OW-OGWDW-3102,DWSRF,Allotment memo for FY24 LSLR funding,https://www.epa.gov/system/files/documents/2024-05/fy24-bil-lslr-allotments-memorandum_may-2024_0.pdf
FY24 Tribal Funding Memo (pdf),2024-05-22,2025-07-16,OW-OGWDW-3089,Tribal Drinking Water Grants,FY 24 Allotment memo for Tribal drinking water infrastructure funding programs,https://www.epa.gov/system/files/documents/2024-05/fy-24-joint-tribal-allocation-memo_may-2024.pdf
